#MPRN: 10005062961
Date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
2025-11-01,0.221,0.5715,0.207,0.126,0.53,0.1125,0.104,0.1125,0.107,0.1025,0.1185,0.0925,0.112,0.104,0.096,0.0715,0.0005,0.0005,0.0855,0,0,0,0.0985,0.1795,0.2365,0.0325,0.092,0,0.0475,0.165,0.209,0.333,0.3025,0.2655,0.3215,0.5075,0.9135,1.3315,0.9305,0.4465,0.4765,0.475,0.622,1.3415,0.676,0.3185,0.481,0.326
2025-11-02,0.3,0.334,0.6555,0.131,0.526,0.198,0.1105,0.1055,0.1225,0.103,0.105,0.1095,0.104,0.1005,0.118,0.035,0.012,0.0005,0.001,0,0,0,0,0.066,0.001,0.0005,0,0.4565,0.1,0.0885,0.0815,0.133,0.195,0.4695,0.3545,0.706,0.9055,1.062,0.725,0.6145,0.4045,0.3115,0.339,0.299,0.275,0.476,0.3275,0.296
