#MPRN: 10005062961
Date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
2026-02-10,0.5465,0.2435,0.108,0.532,0.0855,0.095,0.0745,0.085,0.0855,0.098,0.064,0.096,0.0865,0.093,0.1285,0.2975,0.196,0.497,0.2955,0.295,0.196,0.1275,0.1515,0.169,0.2055,0.158,0.365,0.2665,0.2715,0.2455,0.139,0.072,0.196,0.2235,0.231,0.2155,0.782,1.088,0.6715,0.6015,0.416,0.4385,0.902,1.07,0.9045,0.3215,0.3515,0.356
2026-02-11,0.17,0.5505,0.103,0.352,0.3155,0.092,0.0895,0.1055,0.0745,0.109,0.088,0.088,0.0955,0.111,0.1275,0.3105,0.263,0.665,0.4335,0.3465,0.4015,0.1105,0.314,0.194,0.0815,0.096,0.1215,0.038,0.0755,0.185,0.1425,0.1955,0.172,0.4435,0.559,0.464,0.499,1.262,1.0655,0.8825,0.4855,0.461,0.506,0.3345,0.37,0.4775,0.715,0.447
