#MPRN: 10005062961
Date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
2025-07-08,0.1755,0.537,0.1865,0.1315,0.5205,0.0945,0.1225,0.1085,0.114,0.0985,0.114,0.1065,0.0625,0.044,0.065,0.0275,0.0005,0.004,0.0335,0.137,0.183,0.202,0.2455,0.016,0.018,0.1745,0.1515,0.1345,0.0045,0.0045,0.0005,0.0055,0.0225,0.0095,0.081,0.0735,0.6305,0.514,0.206,0.1025,0.193,0.2665,0.154,0.2545,0.3615,0.436,0.3655,0.2835
2025-07-09,0.1825,0.162,0.183,0.2045,0.533,0.1295,0.5365,0.1435,0.1205,0.12,0.115,0.0825,0.019,0.005,0.0405,0.001,0.0005,0,0.0165,0,0.0375,0.0005,0.0355,0,0,0,0,0.0005,0,0,0.0005,0,0,0.0025,0.0025,0.455,0.4835,0.242,0.1125,0.074,0.068,0.0935,0.124,0.144,0.2055,0.3155,0.321,0.3395
